bibno|copyno|bid|date_key
20326|47066|640|1995-03-21
5815|40310|640|1995-03-21
8507|35573|640|1995-03-21
3126|45320|641|1995-03-21
9688|45632|641|1995-03-21
12280|46123|641|1995-03-21
1473|45221|400|1995-03-21
1394|42147|400|1995-03-21
962|44603|400|1995-03-21
4250|35183|642|1995-03-21
7777|29372|642|1995-03-21
4447|29729|366|1995-03-21
10983|31190|366|1995-03-21
8198|38770|643|1995-03-21
4717|18664|643|1995-03-21
12294|35407|643|1995-03-21
3305|21186|442|1995-03-21
9126|46547|276|1995-03-21
10482|42540|276|1995-03-21
4616|41604|276|1995-03-21
4074|22214|614|1995-03-21
3228|33592|614|1995-03-21
4823|25053|645|1995-03-21
12366|35671|646|1995-03-21
5267|41040|646|1995-03-21
10625|40967|646|1995-03-21
1012|47244|599|1995-03-21
12704|47047|648|1995-03-21
19972|47098|648|1995-03-21
1163|45358|648|1995-03-21
8345|41276|649|1995-03-21
9768|43824|650|1995-03-21
7089|45694|340|1995-03-21
51|44386|340|1995-03-21
11080|42744|340|1995-03-21
1288|45070|483|1995-03-21
7122|40319|483|1995-03-21
3467|47230|366|1995-03-21
13607|46518|597|1995-03-21
2175|21109|653|1995-03-22
6741|11685|653|1995-03-22
20700|47272|73|1995-03-22
7423|43113|408|1995-03-22
813|43205|408|1995-03-22
2355|43181|408|1995-03-22
20572|47181|38|1995-03-22
9656|47183|38|1995-03-22
20569|47180|38|1995-03-22
8292|26555|584|1995-03-22
1753|45269|482|1995-03-22
968|44869|482|1995-03-22
966|46479|253|1995-03-22
1195|44729|654|1995-03-22
14453|38593|221|1995-03-22
13933|42104|221|1995-03-22
13958|46562|655|1995-03-22
8099|32036|659|1995-03-24
3140|16678|659|1995-03-24
6239|39763|659|1995-03-24
9190|28739|660|1995-03-24
6886|21926|661|1995-03-24
10633|41392|662|1995-03-24
17528|20003|662|1995-03-24
3502|35584|663|1995-03-24
8029|41801|663|1995-03-24
8329|26763|663|1995-03-24
20309|47062|72|1995-03-24
20331|47065|72|1995-03-24
20788|47279|72|1995-03-24
20789|47276|72|1995-03-24
12198|33470|664|1995-03-24
4123|24245|664|1995-03-24
4658|45349|507|1995-03-24
20725|47267|64|1995-03-24
20753|47268|64|1995-03-24
20790|47270|64|1995-03-24
3467|47228|599|1995-03-24
3467|46402|306|1995-03-24
9436|29853|255|1995-03-24
13715|46539|665|1995-03-24
12911|46264|666|1995-03-24
8604|42570|667|1995-03-24
19798|46961|56|1995-03-27
802|44596|668|1995-03-27
11140|32794|238|1995-03-27
966|46477|238|1995-03-27
20323|47182|238|1995-03-27
1712|42136|669|1995-03-27
5047|43165|670|1995-03-27
19779|46982|27|1995-03-27
19636|46949|27|1995-03-27
20346|47069|27|1995-03-27
20348|47070|27|1995-03-27
13949|46986|27|1995-03-27
20837|47269|64|1995-03-27
8492|22225|671|1995-03-27
4159|23493|671|1995-03-27
2674|22824|671|1995-03-27
2478|19642|642|1995-03-27
3507|34110|642|1995-03-27
217|44258|400|1995-03-27
12081|44594|400|1995-03-27
6082|33781|672|1995-03-27
6077|23609|673|1995-03-28
8887|29919|674|1995-03-28
10543|42467|674|1995-03-28
2603|46979|49|1995-03-28
3502|35585|662|1995-03-28
8329|26763|662|1995-03-28
12198|33470|662|1995-03-28
12528|32018|642|1995-03-28
8933|29867|642|1995-03-28
1542|45208|676|1995-03-28
1544|45202|676|1995-03-28
11893|40239|677|1995-03-28
4901|40676|678|1995-03-28
6074|43426|507|1995-03-28
19784|46992|275|1995-03-28
18269|46646|275|1995-03-28
153|44461|679|1995-03-28
4759|19657|680|1995-03-28
2106|39114|680|1995-03-28
22132|41590|681|1995-03-28
3560|18102|682|1995-03-31
18208|46631|316|1995-03-31
20646|47212|23|1995-03-31
3467|47229|592|1995-03-31
5987|29949|592|1995-03-31
1012|47244|592|1995-03-31
1012|46716|685|1995-03-31
999|44714|315|1995-03-31
867|43914|315|1995-03-31
11013|45783|686|1995-03-31
20715|47293|262|1995-03-31
6110|25603|270|1995-03-31
223|44261|270|1995-03-31
4384|19140|507|1995-03-31
9311|30108|507|1995-03-31
1086|44827|687|1995-03-31
42|44377|267|1995-03-31
20199|46977|49|1995-03-31
1048|43887|691|1995-03-31
20581|47232|42|1995-03-31
20573|47226|42|1995-03-31
20570|47225|42|1995-03-31
19602|46973|574|1995-03-31
8160|30312|400|1995-03-31
1444|45795|612|1995-03-31
3126|45320|488|1995-03-31
9688|45632|488|1995-03-31
11204|43080|693|1995-03-31
4502|43341|694|1995-03-31
13958|46562|695|1995-03-31
13605|46437|695|1995-03-31
8565|22509|600|1995-04-03
9726|45583|600|1995-04-03
8395|35061|316|1995-04-03
20252|47075|384|1995-04-03
2847|43439|384|1995-04-03
10390|45857|384|1995-04-03
11425|43078|696|1995-04-03
20010|39688|696|1995-04-03
10914|35698|696|1995-04-03
13177|46349|331|1995-04-03
3667|34668|507|1995-04-03
7819|34115|698|1995-04-03
15197|28720|482|1995-04-03
18265|46681|666|1995-04-03
12949|24123|699|1995-04-03
13670|35079|700|1995-04-03
11608|43736|14|1995-04-03
1195|44729|701|1995-04-04
10134|45712|451|1995-04-04
8250|42124|703|1995-04-04
10052|45734|138|1995-04-04
10588|42005|138|1995-04-04
7088|45846|704|1995-04-04
2044|32053|705|1995-04-04
9311|30107|705|1995-04-04
19935|46995|17|1995-04-04
20802|47285|25|1995-04-04
20801|47286|25|1995-04-04
9635|28698|706|1995-04-04
17559|20081|706|1995-04-04
5013|35396|706|1995-04-04
12949|24123|698|1995-04-05
3467|47230|576|1995-04-05
1143|46606|707|1995-04-05
20178|42286|708|1995-04-05
11691|43725|708|1995-04-05
6347|32545|708|1995-04-05
19629|46948|260|1995-04-05
7469|43193|709|1995-04-05
12345|46142|709|1995-04-05
7924|35048|710|1995-04-05
8045|35070|710|1995-04-05
10633|41392|661|1995-04-05
4123|24245|661|1995-04-05
13409|46469|711|1995-04-05
13409|46470|711|1995-04-05
3467|47228|260|1995-04-05
20325|47149|391|1995-04-05
4694|38796|712|1995-04-05
8336|31585|714|1995-04-05
968|44866|400|1995-04-05
1104|43286|270|1995-04-05
43390|42177|270|1995-04-05
5171|45355|716|1995-04-05
3560|18102|717|1995-04-05
17048|20399|75|1995-04-05
206|44242|88|1995-04-05
7203|43718|672|1995-04-05
1937|23969|719|1995-04-05
13147|46347|719|1995-04-05
11936|28263|249|1995-04-06
5425|42120|136|1995-04-06
18240|47111|316|1995-04-06
9256|35677|316|1995-04-06
855|44567|275|1995-04-06
4255|27636|306|1995-04-06
9595|43554|306|1995-04-06
11458|31652|413|1995-04-10
10326|45696|413|1995-04-10
11910|42509|413|1995-04-10
1444|45794|223|1995-04-10
1126|44898|720|1995-04-10
1145|44659|721|1995-04-10
4549|33512|511|1995-04-10
8771|31107|511|1995-04-10
968|44870|482|1995-04-10
14127|42179|722|1995-04-10
5047|43165|722|1995-04-10
1870|45255|475|1995-04-10
1149|44812|475|1995-04-10
12273|33830|724|1995-04-10
3502|35585|724|1995-04-10
5815|40310|724|1995-04-10
3468|45365|725|1995-04-10
7498|34288|725|1995-04-10
10625|40968|725|1995-04-10
4290|29733|654|1995-04-10
5123|38693|726|1995-04-10
5123|38908|726|1995-04-10
1036|44738|274|1995-04-10
14459|36348|274|1995-04-10
1005|44741|274|1995-04-10
6549|25869|576|1995-04-10
6594|18110|576|1995-04-10
5940|38793|727|1995-04-10
9497|43695|568|1995-04-12
15052|46598|568|1995-04-12
6688|26373|487|1995-04-12
13402|42335|487|1995-04-12
1444|45795|487|1995-04-12
10134|45712|728|1995-04-12
3170|30103|729|1995-04-12
2492|38584|729|1995-04-12
18201|46637|258|1995-04-12
11360|31020|730|1995-04-12
13410|45114|730|1995-04-12
8639|35691|731|1995-04-12
10383|46678|731|1995-04-12
966|46477|679|1995-04-12
5087|35104|732|1995-04-12
2883|35558|733|1995-04-12
13390|46404|733|1995-04-12
1542|45208|674|1995-04-12
1544|45202|674|1995-04-12
10390|45856|341|1995-04-12
3472|45360|341|1995-04-12
6864|27968|341|1995-04-12
20844|47278|72|1995-04-12
20326|47066|72|1995-04-12
46082|46277|400|1995-04-14
6652|43966|400|1995-04-14
3142|45273|400|1995-04-14
14030|40139|734|1995-04-14
13571|46472|735|1995-04-14
8580|44101|260|1995-04-14
13393|46417|391|1995-04-14
20555|47135|391|1995-04-14
11835|45928|737|1995-04-14
2888|38560|353|1995-04-14
5765|19798|353|1995-04-14
3876|41498|353|1995-04-14
18795|46806|353|1995-04-14
3467|46402|339|1995-04-14
3941|18596|712|1995-04-14
869|44647|475|1995-04-17
968|44869|482|1995-04-17
1108|44880|482|1995-04-17
6208|31800|482|1995-04-17
11425|43078|738|1995-04-17
20010|39688|738|1995-04-17
10914|35698|738|1995-04-17
12199|33456|199|1995-04-17
1215|45568|739|1995-04-17
1063|45894|379|1995-04-17
3393|40990|379|1995-04-17
4756|40989|101|1995-04-17
7517|42341|101|1995-04-17
9359|22767|576|1995-04-19
10390|45857|576|1995-04-19
2847|43439|576|1995-04-19
8456|29353|296|1995-04-19
6169|25020|296|1995-04-19
4379|30844|296|1995-04-19
11798|42503|663|1995-04-19
11303|42694|663|1995-04-19
11803|43572|663|1995-04-19
3293|35089|740|1995-04-19
2583|42380|300|1995-04-19
2022|23202|300|1995-04-19
8310|36322|300|1995-04-19
5087|35104|492|1995-04-19
19768|46983|22|1995-04-19
7122|40319|741|1995-04-19
9973|46145|68|1995-04-19
1444|45795|612|1995-04-19
154|44462|576|1995-05-02
5065|45446|331|1995-05-03
13177|46349|331|1995-05-03
20473|47105|26|1995-05-03
1444|45795|441|1995-05-03
3467|46402|339|1995-05-03
1542|45208|676|1995-05-03
8250|42124|596|1995-05-03
7668|34635|246|1995-05-03
5355|31605|246|1995-05-03
237|44280|444|1995-05-03
13715|46539|562|1995-05-03
6316|30946|306|1995-05-03
3803|13557|306|1995-05-03
5259|21642|306|1995-05-03
19784|46994|274|1995-05-03
4036|40518|703|1995-05-03
7968|22202|101|1995-05-03
1063|44789|101|1995-05-03
29|44359|101|1995-05-03
11925|45968|101|1995-05-03
20555|47134|391|1995-05-03
13409|46469|391|1995-05-03
1989|40761|743|1995-05-03
966|46477|743|1995-05-03
21|44350|272|1995-05-03
20131|47125|272|1995-05-03
14379|40734|272|1995-05-03
21216|47333|14|1995-05-04
3455|19189|42|1995-05-05
968|44870|482|1995-05-08
18334|46725|482|1995-05-08
1952|35472|272|1995-05-08
2847|43439|745|1995-05-08
10390|45857|745|1995-05-08
7818|29178|576|1995-05-08
8639|36782|316|1995-05-08
20542|47142|59|1995-05-08
18795|47139|59|1995-05-08
13492|47153|59|1995-05-08
20336|47152|59|1995-05-08
20739|47266|59|1995-05-08
20318|47127|59|1995-05-08
20318|47128|59|1995-05-08
20318|47129|59|1995-05-08
20318|47130|59|1995-05-08
20318|47131|59|1995-05-08
7088|45848|293|1995-05-08
8483|43356|734|1995-05-08
10390|45856|746|1995-05-08
13402|42335|199|1995-05-08
1544|45202|676|1995-05-08
677|43350|571|1995-05-08
6194|29844|748|1995-05-08
3294|46682|167|1995-05-08
1875|42566|749|1995-05-08
10228|45757|749|1995-05-08
11360|27918|750|1995-05-09
1366|45116|750|1995-05-09
5418|41750|750|1995-05-09
16974|18575|706|1995-05-09
1952|35965|280|1995-05-09
22132|42206|223|1995-05-09
5777|45488|223|1995-05-09
4272|43210|751|1995-05-09
7814|43424|751|1995-05-09
9610|43196|751|1995-05-09
5265|15885|275|1995-05-09
17023|20317|275|1995-05-09
13191|46364|275|1995-05-09
8483|29851|691|1995-05-09
2883|35558|132|1995-05-09
13390|46404|132|1995-05-09
10390|45857|638|1995-05-11
154|44462|638|1995-05-11
2847|43439|638|1995-05-11
7122|40319|269|1995-05-11
5880|45259|752|1995-05-11
20237|47082|10|1995-05-11
20291|47079|10|1995-05-11
11798|42503|753|1995-05-11
11303|42694|753|1995-05-11
11803|43572|753|1995-05-11
3960|42967|754|1995-05-11
14092|43702|754|1995-05-11
5518|43144|755|1995-05-11
10383|46678|755|1995-05-11
8160|30310|400|1995-05-11
968|44866|400|1995-05-11
6074|43426|507|1995-05-11
19629|46948|340|1995-05-11
3393|40990|340|1995-05-11
4756|40989|340|1995-05-11
7670|38918|590|1995-05-15
821|43962|451|1995-05-15
11797|42505|756|1995-05-15
7359|27870|757|1995-05-15
3324|20723|757|1995-05-15
18317|22030|757|1995-05-15
5190|40004|595|1995-05-15
13876|35358|758|1995-05-15
867|43914|758|1995-05-15
10390|45856|728|1995-05-15
21193|47323|559|1995-05-15
1006|44750|628|1995-05-15
10134|45712|576|1995-05-15
3467|47230|576|1995-05-15
14712|28724|576|1995-05-15
13409|46470|711|1995-05-15
2382|33575|760|1995-05-15
8460|30792|760|1995-05-15
2843|20637|760|1995-05-15
13147|46347|275|1995-05-15
14379|40734|275|1995-05-15
7605|31443|761|1995-05-15
13187|46365|761|1995-05-15
8842|19760|761|1995-05-15
280|44317|762|1995-05-19
1215|45568|762|1995-05-19
3820|32095|762|1995-05-19
8580|44101|260|1995-05-19
6077|23610|418|1995-05-19
20502|47140|758|1995-05-19
9329|45586|758|1995-05-19
18265|46680|205|1995-05-19
18232|46653|205|1995-05-19
13342|46401|331|1995-05-19
20614|47258|223|1995-05-19
12623|32327|306|1995-05-19
6077|23585|763|1995-05-19
4638|25099|764|1995-05-19
7359|27869|764|1995-05-19
13605|46437|272|1995-05-19
2591|33344|267|1995-05-19
17089|18603|267|1995-05-19
17062|18968|267|1995-05-19
8639|35691|274|1995-05-19
17157|21187|595|1995-05-19
1262|44796|584|1995-05-19
1879|32539|765|1995-05-19
8371|39839|765|1995-05-19
8456|29353|765|1995-05-19
4272|43210|755|1995-05-19
9610|43196|755|1995-05-19
20322|47117|678|1995-05-19
8919|31168|339|1995-05-19
103|36098|339|1995-05-19
1962|34401|167|1995-05-19
13574|46455|167|1995-05-19
11038|43578|766|1995-05-19
9224|19400|561|1995-05-23
8919|31171|561|1995-05-23
1364|45073|767|1995-05-23
1363|45074|767|1995-05-23
6616|28577|768|1995-05-23
10635|39974|768|1995-05-23
2531|21335|769|1995-05-23
15492|21390|769|1995-05-23
18970|46850|298|1995-05-23
966|46477|584|1995-05-23
7080|32062|770|1995-05-23
19125|16584|770|1995-05-23
21249|47382|55|1995-05-23
21193|47322|771|1995-05-23
6652|43966|576|1995-05-23
43390|43868|576|1995-05-23
3467|47228|339|1995-05-23
13651|46536|679|1995-05-23
20535|47168|40|1995-05-23
12918|46217|40|1995-05-23
13715|46539|772|1995-05-23
21311|47417|88|1995-05-25
20368|47067|88|1995-05-25
20660|47175|88|1995-05-25
20687|47277|88|1995-05-25
21312|47416|88|1995-05-25
21315|47403|88|1995-05-25
968|44866|482|1995-05-25
2117|40534|482|1995-05-25
19629|46948|773|1995-05-25
1142|44655|387|1995-05-25
5146|30824|387|1995-05-25
9732|41955|387|1995-05-25
5123|38908|726|1995-05-25
5123|38693|726|1995-05-25
8250|42124|754|1995-05-25
1126|44898|646|1995-05-25
11078|41431|646|1995-05-25
853|43265|101|1995-05-25
10139|45800|101|1995-05-25
11925|46946|101|1995-05-25
21313|47354|1|1995-05-25
21349|47406|1|1995-05-25
21379|47415|353|1995-05-29
21376|47414|353|1995-05-29
21348|47408|353|1995-05-29
13958|46562|447|1995-05-29
9073|41507|447|1995-05-29
4774|45434|447|1995-05-29
9454|46041|122|1995-05-29
12115|46075|262|1995-05-29
966|46478|328|1995-05-29
5152|26634|666|1995-05-29
1444|45794|315|1995-05-29
1012|47004|341|1995-05-29
4947|43317|341|1995-05-29
3472|45360|734|1995-05-30
20010|39688|540|1995-05-30
18747|36122|776|1995-05-30
20612|47246|199|1995-05-30
10134|45712|576|1995-05-30
966|46479|498|1995-05-30
10476|47413|23|1995-05-30
1262|44796|584|1995-06-02
7088|45845|546|1995-06-05
8817|43917|779|1995-06-05
9311|30108|779|1995-06-05
21373|47392|353|1995-06-05
869|44651|276|1995-06-05
1149|44812|276|1995-06-05
10979|31177|754|1995-06-05
9732|46990|519|1995-06-05
7805|38794|207|1995-06-05
14560|36353|207|1995-06-05
8160|20268|441|1995-06-07
11558|22032|405|1995-06-07
11377|42518|405|1995-06-07
10850|32825|405|1995-06-07
8764|43654|780|1995-06-07
8765|43656|780|1995-06-07
19629|46948|691|1995-06-07
18232|46653|206|1995-06-07
966|46477|253|1995-06-07
14083|42383|107|1995-06-08
9768|43824|781|1995-06-08
7900|20429|576|1995-06-13
21448|47444|17|1995-06-13
21447|47445|17|1995-06-13
21394|47393|131|1995-06-13
11339|30172|507|1995-06-13
21254|47315|507|1995-06-13
10513|46021|782|1995-06-13
1952|35472|249|1995-06-13
8104|27351|340|1995-06-13
8105|32334|340|1995-06-13
14092|43702|754|1995-06-13
9185|38382|754|1995-06-13
18292|46693|282|1995-06-13
20010|39688|783|1995-06-13
11650|43737|783|1995-06-13
19677|46952|85|1995-06-13
14022|47095|85|1995-06-13
3025|32191|172|1995-06-14
2799|33419|172|1995-06-14
3467|47228|193|1995-06-14
10390|45857|193|1995-06-14
18208|46631|784|1995-06-15
19972|47096|593|1995-06-20
12365|46812|593|1995-06-20
219|44266|593|1995-06-20
21429|47453|22|1995-06-20
21429|47454|22|1995-06-20
21469|47443|55|1995-06-20
4516|45410|785|1995-06-20
3028|30329|306|1995-06-20
1217|44962|306|1995-06-20
21363|47389|114|1995-06-20
21252|47327|114|1995-06-20
21382|47391|114|1995-06-20
10569|42069|786|1995-06-20
18591|46768|86|1995-06-20
19629|46948|340|1995-06-20
2427|20666|341|1995-06-27
2224|24070|444|1995-06-27
10390|45856|306|1995-06-27
21357|47378|48|1995-06-27
21454|47436|48|1995-06-27
21247|47399|48|1995-06-27
21426|47429|27|1995-06-27
13589|47427|27|1995-06-27
21444|47428|27|1995-06-27
21369|47404|27|1995-06-27
21446|47430|27|1995-06-27
7464|47409|171|1995-06-27
21572|47470|1|1995-06-27
21468|47381|1|1995-06-27
8104|27352|691|1995-06-27
10818|39041|441|1995-06-27
223|44261|441|1995-06-27
3467|46402|576|1995-06-27
9356|33230|576|1995-06-27
2847|43439|576|1995-06-27
5646|29182|787|1995-06-27
2193|36592|142|1995-06-27
9768|43824|781|1995-06-27
21275|47374|60|1995-06-27
7498|34288|788|1995-06-27
1911|41098|788|1995-06-27
5082|32806|788|1995-06-27
12860|29330|768|1995-06-27
5706|40640|768|1995-06-27
6616|33793|768|1995-06-27
1012|46715|340|1995-06-27
21393|47407|40|1995-06-27
3960|42964|754|1995-06-27
8977|34840|789|1995-07-03
21287|47375|86|1995-07-03
21474|47442|86|1995-07-03
21392|47394|86|1995-07-03
2196|47395|86|1995-07-03
8580|44101|379|1995-07-03
6542|44411|340|1995-07-03
6542|45687|341|1995-07-03
20324|47150|174|1995-07-03
20325|47149|174|1995-07-03
6234|45499|174|1995-07-03
9230|41832|790|1995-07-03
10625|40968|515|1995-07-03
17559|20081|723|1995-07-03
10635|39974|768|1995-07-03
18239|46651|206|1995-07-03
21269|47373|30|1995-07-03
21288|47345|30|1995-07-03
20121|47093|32|1995-07-03
21464|47434|32|1995-07-03
20153|47121|32|1995-07-03
21332|47372|26|1995-07-03
895|46964|734|1995-07-03
21517|47339|53|1995-07-04
21519|47343|53|1995-07-04
9450|47342|53|1995-07-04
21265|47344|53|1995-07-04
19784|46993|235|1995-07-04
13607|46518|249|1995-07-04
18208|46630|249|1995-07-04
18269|46647|249|1995-07-04
12366|35671|791|1995-07-04
21432|47431|78|1995-07-06
7607|45539|379|1995-07-06
1063|44789|379|1995-07-06
13252|46377|234|1995-07-06
12284|46141|234|1995-07-06
4656|45344|234|1995-07-06
13991|42092|444|1995-07-06
51|44386|792|1995-07-06
18594|46764|792|1995-07-06
1565|44806|792|1995-07-06
21484|47447|17|1995-07-12
21486|47446|17|1995-07-12
14833|46587|703|1995-07-12
51|44386|794|1995-07-12
8344|22505|533|1995-07-12
21309|47402|72|1995-07-12
21367|47405|72|1995-07-12
21310|47401|72|1995-07-12
21473|47438|72|1995-07-12
16670|24060|42|1995-07-13
966|46479|101|1995-07-14
217|44258|400|1995-07-14
21323|47356|54|1995-07-14
8599|47426|52|1995-07-14
21368|47398|52|1995-07-14
5063|47410|52|1995-07-14
7601|22480|649|1995-07-14
5116|22443|649|1995-07-14
5171|45355|234|1995-07-18
13393|46417|234|1995-07-18
5168|45347|234|1995-07-18
20601|47235|79|1995-07-18
8771|31107|79|1995-07-18
9452|45820|79|1995-07-18
3896|28778|797|1995-07-18
3268|24678|797|1995-07-18
10789|35589|797|1995-07-18
14536|46989|6|1995-08-02
5940|38793|173|1995-08-11
13187|46365|173|1995-08-11
5564|43211|173|1995-08-11
5777|45488|306|1995-08-11
3240|25817|306|1995-08-11
11721|45876|306|1995-08-11
217|44258|400|1995-08-11
6542|30819|400|1995-08-11
6542|40911|400|1995-08-11
14539|41999|169|1995-08-11
219|44266|794|1995-08-11
