bid,gender,department
144,M,Economics
146,M,BusinessAdministration
149,M,Low
159,M,BusinessAdministration
166,M,Physics
167,M,Informatics
169,M,Low
170,M,Low
171,M,Physics
172,M,Low
173,M,Economics
174,M,Low
175,M,Mathematics
179,M,Low
180,M,Low
182,M,Mathematics
184,M,Informatics
185,M,Low
188,M,Statistics
190,M,Medicine
193,M,Low
194,M,Medicine
195,M,Mathematics
196,M,Economics
197,M,Psychology
199,M,Low
203,M,Psychology
204,M,Informatics
205,M,Statistics
206,M,Informatics
207,M,Informatics
208,M,Informatics
209,M,Informatics
210,M,Informatics
211,M,Informatics
212,M,Informatics
214,M,Informatics
215,M,Statistics
216,M,Informatics
217,M,Informatics
220,M,Mathematics
221,M,Physics
222,M,Low
223,M,Low
224,M,Mathematics
225,M,Informatics
226,M,Low
227,M,Mathematics
229,M,Economics
230,M,Low
233,M,Mathematics
234,M,Low
235,M,Psychology
236,M,Mathematics
237,M,Informatics
238,M,Low
240,M,Mathematics
241,M,Mathematics
242,M,Mathematics
243,M,Informatics
244,M,Low
245,M,Low
246,M,Low
247,M,Mathematics
249,M,Mathematics
250,M,Mathematics
252,M,Mathematics
253,M,Low
254,M,Low
255,M,Low
256,M,Mathematics
258,M,Informatics
259,M,Mathematics
260,M,Economics
261,M,Mathematics
262,M,Low
264,M,Economics
265,M,Mathematics
266,M,Mathematics
267,M,Mathematics
268,M,Mathematics
269,M,Low
270,M,Economics
272,M,Mathematics
273,M,Mathematics
274,M,Mathematics
275,M,Mathematics
276,M,Mathematics
277,M,Mathematics
278,M,Low
279,M,Mathematics
280,M,Mathematics
281,M,Economics
282,M,Mathematics
283,M,Low
284,M,Low
285,M,BusinessAdministration
287,M,Low
289,M,Low
290,M,Economics
291,M,Low
292,M,Statistics
293,M,Economics
294,M,Low
295,M,Low
296,M,Economics
297,M,Mathematics
298,M,Mathematics
299,M,Low
300,M,Economics
301,M,Informatics
302,M,Mathematics
303,M,Physics
304,M,Economics
305,M,Mathematics
306,M,Economics
307,M,BusinessAdministration
308,M,Economics
310,M,Low
311,M,Low
312,M,BusinessAdministration
313,M,BusinessAdministration
314,M,Economics
315,M,Low
316,M,Mathematics
317,M,Economics
318,M,Economics
319,M,Economics
320,M,Economics
321,M,Economics
322,M,Economics
323,M,Economics
324,M,Economics
326,M,Low
327,M,BusinessAdministration
328,M,Low
331,M,Low
332,M,Low
334,M,Mathematics
336,M,Economics
337,M,Low
339,M,Economics
340,M,Economics
341,M,Economics
344,M,Economics
346,M,Physics
347,M,Physics
348,M,BusinessAdministration
349,M,BusinessAdministration
350,M,Mathematics
351,M,BusinessAdministration
353,M,Physics
354,M,Economics
355,M,Economics
356,M,Low
357,M,Mathematics
358,M,Low
363,M,Low
366,M,Economics
369,M,Mathematics
370,M,Economics
371,M,Mathematics
375,M,BusinessAdministration
376,M,BusinessAdministration
377,M,Mathematics
378,M,Mathematics
379,M,Economics
381,M,BusinessAdministration
382,M,Economics
383,M,BusinessAdministration
384,M,Low
386,M,Mathematics
387,M,Mathematics
388,M,Biology
389,M,Informatics
390,M,Mathematics
391,M,Low
392,M,Low
393,M,Economics
394,M,Mathematics
395,M,Low
396,M,Mathematics
397,M,Low
398,M,Mathematics
399,M,BusinessAdministration
400,M,Economics
401,M,Mathematics
402,M,Low
403,M,Low
405,M,Mathematics
406,M,Mathematics
407,M,Mathematics
408,M,Economics
411,M,Physics
413,M,Mathematics
414,M,Economics
417,M,BusinessAdministration
418,M,Economics
419,M,Mathematics
421,M,Mathematics
422,M,Mathematics
424,M,BusinessAdministration
426,M,Economics
427,M,Mathematics
428,M,Mathematics
429,M,Economics
431,M,Mathematics
432,M,Low
434,M,Mathematics
435,M,Economics
438,M,Low
439,M,Mathematics
441,M,Economics
442,M,Low
443,M,Low
444,M,Mathematics
446,M,Mathematics
447,M,Mathematics
448,M,Mathematics
449,M,Low
450,M,BusinessAdministration
451,M,Economics
453,M,Mathematics
454,M,Economics
455,M,Economics
457,M,Low
458,M,Mathematics
459,M,Mathematics
460,M,Low
461,M,Mathematics
462,M,BusinessAdministration
463,M,BusinessAdministration
464,M,Mathematics
466,M,Informatics
468,M,Mathematics
469,M,Low
470,M,Mathematics
471,M,Mathematics
472,M,BusinessAdministration
474,M,Economics
475,M,Mathematics
476,M,Mathematics
477,M,Mathematics
481,M,Mathematics
482,M,Economics
483,M,Mathematics
484,M,Physics
485,M,Mathematics
487,M,Low
488,M,Mathematics
489,M,Mathematics
490,M,Mathematics
491,M,Mathematics
492,M,Mathematics
493,M,Physics
494,M,Mathematics
495,M,Mathematics
497,M,Mathematics
498,M,Low
499,M,Economics
500,M,Economics
501,M,Low
502,M,Mathematics
503,M,Mathematics
504,M,Economics
505,M,Mathematics
507,M,Low
508,M,Economics
509,M,Mathematics
511,M,Mathematics
512,M,Low
513,M,Mathematics
514,M,Low
515,M,Low
516,M,Mathematics
517,M,Informatics
518,M,Low
519,M,Mathematics
520,M,Informatics
521,M,Mathematics
522,M,Mathematics
523,M,Economics
525,M,Economics
526,M,Mathematics
527,M,Mathematics
528,M,Mathematics
529,M,Economics
530,M,Informatics
531,M,Mathematics
532,M,Economics
533,M,Low
535,M,Low
536,M,Informatics
537,M,Mathematics
538,M,Low
539,M,Low
540,M,Low
541,M,Mathematics
543,M,Psychology
544,M,Low
545,M,Economics
546,M,Low
547,M,Low
548,M,Informatics
549,M,Mathematics
550,M,Economics
551,M,Low
552,M,Low
554,M,Low
555,M,Low
557,M,Mathematics
558,M,BusinessAdministration
559,M,Economics
561,M,Economics
562,M,Low
563,M,Low
564,M,Low
565,M,Low
568,M,Economics
569,M,Mathematics
570,M,Mathematics
571,M,Physics
572,M,Economics
573,M,Low
574,M,Low
575,M,Mathematics
576,M,Economics
577,M,BusinessAdministration
578,M,Low
579,M,Low
580,M,Economics
581,M,Mathematics
582,M,Low
583,M,Informatics
584,M,Low
586,M,Low
587,M,Low
589,M,Economics
590,M,Low
591,M,Mathematics
592,M,Economics
593,M,Low
594,M,Low
595,M,Low
596,M,Informatics
597,M,Economics
598,M,Mathematics
599,M,Economics
600,M,Mathematics
602,M,Mathematics
603,M,Mathematics
604,M,Mathematics
605,M,Physics
606,M,Mathematics
607,M,Mathematics
608,M,Mathematics
610,M,Mathematics
612,M,Economics
614,M,Mathematics
615,M,Physics
619,M,Mathematics
620,M,Mathematics
621,M,Low
622,M,Low
623,M,Mathematics
625,M,Mathematics
627,M,Statistics
628,M,Informatics
629,M,Low
630,M,Physics
631,M,Informatics
632,M,Low
634,M,Mathematics
635,M,Mathematics
636,M,Mathematics
637,M,Mathematics
638,M,Economics
639,M,Economics
640,M,Mathematics
641,M,Economics
642,M,Mathematics
643,M,Mathematics
644,M,Mathematics
645,M,Mathematics
646,M,Biology
648,M,Economics
649,M,Low
650,M,Mathematics
653,M,Economics
654,M,Informatics
655,M,Mathematics
659,M,Mathematics
660,M,Informatics
661,M,Mathematics
662,M,Mathematics
663,M,Mathematics
664,M,Mathematics
665,M,Low
666,M,Informatics
667,M,Mathematics
668,M,Mathematics
669,M,Physics
670,M,Economics
671,M,Mathematics
672,M,Economics
673,M,Economics
674,M,Economics
676,M,Economics
677,M,Mathematics
678,M,BusinessAdministration
679,M,Economics
680,M,Mathematics
681,M,Low
682,M,Physics
685,M,Economics
686,M,Economics
687,M,Mathematics
691,M,Mathematics
693,M,Economics
694,M,Physics
695,M,Mathematics
696,M,Economics
697,M,Mathematics
698,M,Physics
699,M,Physics
700,M,Informatics
701,M,Informatics
703,M,Mathematics
704,M,Economics
705,M,BusinessAdministration
706,M,Mathematics
707,M,Physics
708,M,Low
709,M,Low
710,M,Mathematics
711,M,Low
712,M,BusinessAdministration
713,M,Mathematics
714,M,Economics
716,M,Low
717,M,Physics
719,M,Mathematics
720,M,Mathematics
721,M,Mathematics
722,M,Economics
723,M,BusinessAdministration
724,M,Physics
725,M,Mathematics
726,M,Informatics
727,M,Low
728,M,Economics
729,M,Mathematics
730,M,Economics
731,M,Mathematics
732,M,Informatics
733,M,Economics
734,M,Mathematics
735,M,Low
736,M,BusinessAdministration
737,M,Economics
738,M,Economics
739,M,Mathematics
740,M,Informatics
741,M,Economics
743,M,Economics
745,M,Economics
746,M,Economics
748,M,Low
749,M,Mathematics
750,M,Mathematics
751,M,Mathematics
752,M,Mathematics
753,M,Mathematics
754,M,Informatics
755,M,Mathematics
756,M,Economics
757,M,Economics
758,M,Low
760,M,Mathematics
761,M,Economics
762,M,Mathematics
763,M,Economics
764,M,Economics
765,M,Economics
766,M,Low
767,M,Economics
768,M,Low
769,M,Economics
770,M,Mathematics
771,M,Economics
772,M,Low
773,M,Economics
776,M,Mathematics
779,M,Low
780,M,Informatics
781,M,Low
782,M,Informatics
783,M,Low
784,M,Low
785,M,Mathematics
786,M,BusinessAdministration
787,M,Low
788,M,Mathematics
789,M,Mathematics
790,M,Physics
791,M,Mathematics
792,M,Low
794,M,Low
797,M,Mathematics
798,M,Economics
800,M,Mathematics
801,M,Mathematics
802,M,Mathematics
803,M,Low
804,M,Low
805,M,Informatics
806,M,Low
807,M,BusinessAdministration
810,M,Informatics
812,M,Informatics
813,M,Economics
815,M,Mathematics
816,M,Informatics
817,M,Physics
818,M,Mathematics
819,M,Low
820,M,Economics
821,M,Economics
822,M,Economics
823,M,Economics
824,M,Low
825,M,Mathematics
826,M,Low
828,M,Physics
829,M,Mathematics
830,M,Low
831,M,Low
833,M,Mathematics
836,M,Mathematics
837,M,Economics
839,M,Physics
840,M,Mathematics
841,M,Physics
843,M,Economics
846,M,Physics
847,M,Economics
851,M,Low
853,M,Low
854,M,Low
856,M,Mathematics
857,M,Mathematics
858,M,Economics
859,M,Mathematics
860,M,Low
861,M,Low
862,M,Mathematics
863,M,Low
864,M,Low
865,M,Mathematics
868,M,Low
869,M,Economics
870,M,Economics
871,M,Economics
872,M,Mathematics
873,M,Mathematics
874,M,Low
875,M,Low
876,M,Low
877,M,Mathematics
878,M,Low
880,M,Mathematics
881,M,BusinessAdministration
883,M,Low
885,M,Low
887,M,BusinessAdministration
888,M,Economics
889,M,Mathematics
890,M,Mathematics
891,M,Mathematics
893,M,Low
894,M,Low
895,M,Informatics
897,M,Mathematics
898,M,Mathematics
899,M,Mathematics
901,M,Low
902,M,Low
907,M,Informatics
908,M,Economics
909,M,Mathematics
912,M,Low
913,M,Low
914,M,Low
916,M,Mathematics
917,M,Mathematics
918,M,Economics
919,M,Economics
920,M,Mathematics
921,M,Low
922,M,Low
923,M,Mathematics
924,M,Mathematics
926,M,Informatics
927,M,Mathematics
928,M,BusinessAdministration
930,M,Low
931,M,Economics
933,M,Mathematics
934,M,Economics
935,M,Mathematics
937,M,Mathematics
940,M,Low
942,M,Mathematics
943,M,Mathematics
944,M,Medicine
948,M,Economics
949,M,Low
951,M,Physics
953,M,Mathematics
954,M,Mathematics
955,M,Low
957,M,Mathematics
958,M,Informatics
960,M,Informatics
961,M,Informatics
963,M,Low
964,M,Economics
965,M,Low
967,M,Mathematics
968,M,Economics
970,M,Informatics
971,M,Mathematics
972,M,Economics
973,M,Mathematics
975,M,Low
976,M,Mathematics
979,M,Mathematics
980,M,Mathematics
982,M,Low
985,M,Mathematics
987,M,Economics
988,M,Economics
989,M,Mathematics
990,M,Informatics
991,M,Economics
992,M,Economics
993,M,Low
994,M,Mathematics
996,M,Economics
997,M,Mathematics
999,M,Informatics
1001,M,Low
1002,M,Mathematics
1003,M,Mathematics
1004,M,Low
1005,M,Economics
1009,M,Mathematics
1011,M,Mathematics
1012,M,Economics
1013,M,Mathematics
1014,M,Mathematics
1015,M,Mathematics
1017,M,Mathematics
1021,M,Physics
1022,M,Mathematics
1023,M,Mathematics
1025,M,Mathematics
1026,M,Mathematics
1028,M,Mathematics
1029,M,Economics
1030,M,Economics
1031,M,Mathematics
1033,M,Informatics
1035,M,Economics
1036,M,Mathematics
1037,M,Mathematics
1038,M,Economics
1039,M,Low
1040,M,Low
1041,M,Informatics
1042,M,Low
1043,M,Mathematics
1046,M,Low
1047,M,Informatics
1048,M,Physics
1050,M,BusinessAdministration
1051,M,Low
1053,M,Physics
1054,M,Low
1055,M,BusinessAdministration
1057,M,Low
1058,M,Informatics
1059,M,Mathematics
1060,M,Economics
1061,M,Economics
1062,M,Mathematics
1067,M,BusinessAdministration
1068,M,Physics
1069,M,Physics
1070,M,Low
1071,M,Economics
1073,M,Economics
1076,M,Mathematics
1077,M,Mathematics
1079,M,Economics
1080,M,Physics
1081,M,Mathematics
1082,M,Economics
1083,M,Physics
1086,M,Low
1087,M,Economics
1088,M,Low
1089,M,Low
1090,M,Economics
1091,M,Informatics
1092,M,Informatics
1094,M,Economics
1095,M,Economics
1096,M,Low
1097,M,Mathematics
1098,M,Mathematics
1099,M,Economics
1100,M,Low
1101,M,Economics
1102,M,Low
1104,M,Low
1105,M,Informatics
1106,M,Informatics
1107,M,Informatics
1109,M,Mathematics
1110,M,Low
1111,M,Mathematics
1112,M,Mathematics
1113,M,Low
1114,M,Low
1115,M,Low
1116,M,Informatics
1118,M,Mathematics
1122,M,Biology
1123,M,Mathematics
1124,M,Low
1127,M,Mathematics
1128,M,Mathematics
1129,M,Mathematics
1130,M,Informatics
1131,M,Mathematics
1134,M,Physics
1135,M,Economics
1137,M,Mathematics
1138,M,Mathematics
1139,M,Low
1140,M,Economics
1141,M,Low
1144,M,BusinessAdministration
1147,M,Economics
1148,M,BusinessAdministration
1149,M,Mathematics
1153,M,Mathematics
1154,M,Mathematics
1156,M,Physics
1157,M,Biology
1158,M,Physics
1159,M,Informatics
1160,M,Economics
1165,M,Economics
1169,M,Mathematics
1171,M,Mathematics
1172,M,Mathematics
1175,M,Low
1176,M,Mathematics
1177,M,Economics
1178,M,Economics
1179,M,Mathematics
1180,M,Low
1181,M,Economics
1183,M,Economics
1184,M,Mathematics
1185,M,Low
1186,M,Mathematics
1187,M,Mathematics
1188,M,Mathematics
1189,M,Low
1190,M,Low
1191,M,Physics
1196,M,BusinessAdministration
1198,M,Economics
1199,M,Mathematics
1200,M,Mathematics
1201,M,Mathematics
1202,M,Physics
1204,M,Economics
1206,M,Low
1207,M,Economics
1209,M,BusinessAdministration
1210,M,Mathematics
1212,M,BusinessAdministration
1213,M,Informatics
1214,M,Economics
1216,M,Economics
1217,M,Informatics
1218,M,Informatics
1220,M,Economics
1221,M,Low
1222,M,Informatics
1223,M,Informatics
1224,M,Informatics
1226,M,Mathematics
1227,M,Economics
1228,M,Informatics
1230,M,Economics
1231,M,Mathematics
1232,M,Informatics
1235,M,Mathematics
1236,M,Low
1240,M,Physics
1244,M,Informatics
1246,M,Informatics
1247,M,Economics
1248,M,Economics
1249,M,Mathematics
1250,M,Informatics
1251,M,Mathematics
1252,M,Low
1255,M,BusinessAdministration
1256,M,Economics
1257,M,Economics
1258,M,Mathematics
1259,M,Economics
1260,M,BusinessAdministration
1261,M,Low
1263,M,BusinessAdministration
1264,M,Low
1265,M,Medicine
1267,M,Informatics
1268,M,Low
1269,M,Low
1270,M,BusinessAdministration
1271,M,Informatics
1272,M,Informatics
1273,M,Mathematics
1274,M,Informatics
1275,M,Economics
1276,M,Low
1277,M,Economics
1278,M,Informatics
1280,M,Medicine
1281,M,Economics
1283,M,Low
1284,M,Economics
1285,M,Mathematics
1288,M,Economics
1289,M,Mathematics
1290,M,BusinessAdministration
1293,M,Informatics
1294,M,Informatics
1297,M,Mathematics
1298,M,Mathematics
1300,M,Low
1303,M,Economics
1304,M,Mathematics
1306,M,Low
1307,M,Informatics
1308,M,BusinessAdministration
1309,M,Mathematics
1310,M,Mathematics
1314,M,Informatics
1316,M,Low
1317,M,BusinessAdministration
1318,M,Mathematics
1322,M,Low
1323,M,Low
1324,M,Mathematics
1327,M,Economics
1328,M,Mathematics
1329,M,Mathematics
1330,M,Mathematics
1331,M,Low
1332,M,Low
1336,M,Economics
1338,M,Informatics
1339,M,Economics
1340,M,Low
1342,M,Low
1344,M,Mathematics
1346,M,Mathematics
1353,M,Mathematics
1354,M,Mathematics
1355,M,Economics
1357,M,Mathematics
1358,M,Economics
1359,M,Physics
1361,M,Low
1362,M,Economics
1363,M,Economics
1364,M,Low
1365,M,Mathematics
1367,M,Mathematics
1368,M,Medicine
1369,M,Mathematics
1370,M,Mathematics
1371,M,Economics
1372,M,Economics
1373,M,Low
1375,M,Low
1376,M,Low
1377,M,BusinessAdministration
1380,M,Biology
1381,M,Informatics
1384,M,Economics
1388,M,Low
1389,M,Low
1390,M,Economics
1393,M,Informatics
1394,M,BusinessAdministration
1395,M,Low
1396,M,Mathematics
1399,M,Physics
1401,M,Mathematics
1402,M,Mathematics
1405,M,BusinessAdministration
1407,M,Informatics
1409,M,Low
1410,M,Low
1411,M,BusinessAdministration
1412,M,BusinessAdministration
1414,M,Mathematics
1415,M,Physics
1416,M,Mathematics
1418,M,Physics
1419,M,Economics
1420,M,Low
1423,M,Mathematics
1426,M,Low
1431,M,Informatics
1432,M,Economics
1433,M,Economics
1435,M,Mathematics
1436,M,Low
1437,M,BusinessAdministration
1438,M,Mathematics
1441,M,Economics
1443,M,Economics
1444,M,Mathematics
1446,M,Informatics
1447,M,Mathematics
1449,M,Mathematics
1450,M,Medicine
1451,M,Economics
1452,M,Mathematics
1453,M,Economics
1456,M,Mathematics
1457,M,Economics
1458,M,Medicine
1459,M,Medicine
1460,M,Informatics
1463,M,Economics
1464,M,Physics
1465,M,Physics
1467,M,Low
1469,M,Economics
1472,M,Low
1473,M,Low
1474,M,BusinessAdministration
1475,M,Low
1476,M,Mathematics
1477,M,Economics
1479,M,Low
1481,M,Mathematics
1482,M,Mathematics
1484,M,Economics
1486,M,Economics
1487,M,Low
1488,M,Informatics
1489,M,Mathematics
1490,M,Mathematics
1492,M,Informatics
1495,M,Economics
1496,M,Informatics
1497,M,Mathematics
1498,M,Economics
1499,M,Mathematics
1502,M,Low
1503,M,Low
1504,M,Informatics
1505,M,Mathematics
1506,M,Economics
1511,M,Informatics
1513,M,Informatics
1514,M,Low
1521,M,Economics
1523,M,BusinessAdministration
1525,M,Mathematics
1527,M,Economics
1528,M,Economics
1530,M,Mathematics
1532,M,Economics
1534,M,BusinessAdministration
1536,M,Mathematics
1538,M,Mathematics
1540,M,BusinessAdministration
1541,M,Mathematics
1543,M,Mathematics
1545,M,Medicine
1546,M,Low
1547,M,Economics
1548,M,Economics
1549,M,Economics
1551,M,Mathematics
1553,M,Economics
1554,M,Low
1557,M,Low
1559,M,Economics
1560,M,Economics
1561,M,Mathematics
1563,M,Economics
1564,M,Mathematics
1567,M,Economics
1568,M,Low
1569,M,Low
1572,M,Low
1573,M,BusinessAdministration
1575,M,Economics
1578,M,Mathematics
1584,M,Informatics
1585,M,Physics
1586,M,Economics
1587,M,Informatics
1592,M,Economics
1593,M,Mathematics
1596,M,Mathematics
1597,M,Low
1598,M,Economics
1604,M,Mathematics
1606,M,Psychology
1607,M,Economics
1608,M,Low
1609,M,Informatics
1610,M,Economics
1611,M,Economics
1612,M,Low
1615,M,Economics
1618,M,Mathematics
1619,M,Economics
1621,M,Low
1623,M,Low
1627,M,Mathematics
1630,M,Mathematics
1634,M,Mathematics
1635,M,Mathematics
1636,M,Informatics
1640,M,Informatics
1641,M,Mathematics
1644,M,Physics
1647,M,Low
1649,M,Medicine
1650,M,BusinessAdministration
1651,M,Informatics
1653,M,Economics
1655,M,Psychology
1656,M,Mathematics
1657,M,Informatics
1661,M,Economics
1662,M,Mathematics
1663,M,Low
1664,M,Low
1665,M,Informatics
1667,M,Informatics
1671,M,Informatics
1672,M,Economics
1673,M,Informatics
1674,M,Low
1675,M,BusinessAdministration
1676,M,BusinessAdministration
1677,M,BusinessAdministration
1678,M,BusinessAdministration
1680,M,Medicine
1681,M,Low
1683,M,Low
1686,M,Physics
1688,M,Economics
1689,M,Mathematics
1691,M,Low
1692,M,BusinessAdministration
1695,M,Low
1696,M,BusinessAdministration
1698,M,Informatics
1700,M,Physics
1705,M,Mathematics
1706,M,Economics
1710,M,Mathematics
1711,M,Mathematics
1713,M,Informatics
1714,M,Low
1715,M,Informatics
1716,M,Mathematics
1721,M,Mathematics
1723,M,Mathematics
1724,M,Mathematics
1726,M,Mathematics
1727,M,Mathematics
1730,M,Mathematics
1736,M,Informatics
1737,M,Medicine
1742,M,Mathematics
1744,M,Mathematics
1745,M,Mathematics
1746,M,BusinessAdministration
1747,M,Mathematics
1748,M,BusinessAdministration
1750,M,Mathematics
1758,M,Mathematics
1759,M,Mathematics
1760,M,Mathematics
1761,M,Informatics
1763,M,Mathematics
1765,M,Mathematics
1766,M,Physics
1767,M,Low
1769,M,Mathematics
1770,M,Informatics
1772,M,Informatics
1773,M,Mathematics
1775,M,Mathematics
1776,M,Informatics
1777,M,Mathematics
1780,M,Mathematics
1781,M,Physics
1786,M,BusinessAdministration
1787,M,BusinessAdministration
1793,M,Mathematics
1797,M,BusinessAdministration
1798,M,Mathematics
1801,M,Low
1802,M,Mathematics
1804,M,Mathematics
1807,M,Informatics
1808,M,BusinessAdministration
1810,M,Economics
1812,M,Mathematics
1813,M,Economics
1816,M,Mathematics
1818,M,Mathematics
1819,M,Mathematics
1820,M,Mathematics
1821,M,BusinessAdministration
1826,M,Mathematics
1827,M,Economics
1828,M,Physics
1829,M,Economics
1830,M,Mathematics
1832,M,Mathematics
1833,M,Mathematics
1836,M,Mathematics
1837,M,Mathematics
1838,M,Mathematics
1841,M,BusinessAdministration
1842,M,Informatics
1845,M,Mathematics
1846,M,Mathematics
1848,M,Mathematics
1849,M,Physics
1850,M,BusinessAdministration
1851,M,Mathematics
1852,M,Mathematics
1855,M,BusinessAdministration
1857,M,Low
1858,M,Economics
1860,M,Mathematics
1864,M,Mathematics
1866,M,Mathematics
1867,M,Mathematics
1868,M,Mathematics
1869,M,Mathematics
1870,M,Informatics
1871,M,BusinessAdministration
1874,M,Physics
1876,M,Mathematics
1877,M,Low
1878,M,Physics
1882,M,Physics
1884,M,Mathematics
1885,M,Economics
1886,M,Economics
1887,M,Economics
1889,M,Mathematics
1891,M,Physics
1892,M,Physics
1894,M,Low
1900,M,Physics
1901,M,Informatics
1902,M,Informatics
1905,M,Low
1907,M,Physics
1908,M,Physics
1909,M,Informatics
1910,M,Informatics
1912,M,Economics
1913,M,Physics
1914,M,Mathematics
1915,M,Economics
1916,M,BusinessAdministration
1918,M,Informatics
1919,M,BusinessAdministration
1923,M,Physics
1924,M,Low
1925,M,Medicine
1927,M,Informatics
1929,M,Informatics
1931,M,Mathematics
1932,M,BusinessAdministration
1933,M,Mathematics
1935,M,Statistics
1936,M,Low
1937,M,BusinessAdministration
1938,M,Informatics
1941,M,Physics
1943,M,Mathematics
1944,M,Economics
1945,M,Physics
1946,M,Physics
1947,M,Low
1948,M,Informatics
1952,M,BusinessAdministration
1953,M,Economics
1955,M,Low
1958,M,Low
1960,M,Informatics
1962,M,Mathematics
1964,M,Low
1966,M,Economics
1968,M,Psychology
1969,M,Physics
1972,M,Mathematics
1973,M,Mathematics
1974,M,Low
1975,M,Medicine
1976,M,Low
1977,M,Low
1979,M,BusinessAdministration
1980,M,Informatics
1981,M,Physics
1982,M,Mathematics
1983,M,Informatics
1984,M,Mathematics
1985,M,Physics
1990,M,Mathematics
1992,M,Low
1995,M,Low
1997,M,Mathematics
1998,M,Economics
2001,M,Informatics
2002,M,Informatics
2003,M,Economics
2004,M,Mathematics
2007,M,Economics
2008,M,Informatics
2009,M,Economics
2011,M,BusinessAdministration
2012,M,Physics
2013,M,Informatics
2014,M,BusinessAdministration
2017,M,Mathematics
2018,M,Mathematics
2019,M,Mathematics
2020,M,Mathematics
2023,M,BusinessAdministration
2024,M,Economics
2028,M,Informatics
2034,M,Informatics
2036,M,Physics
2038,M,Informatics
2039,M,Economics
2040,M,Low
2041,M,Mathematics
2042,M,Economics
2043,M,Physics
2044,M,Economics
2047,M,Low
2048,M,Mathematics
2051,M,Statistics
2053,M,Economics
2054,M,Physics
2057,M,Economics
2066,M,Medicine
2067,M,Economics
2071,M,Informatics
2072,M,Low
2073,M,Mathematics
2074,M,Low
2075,M,Low
2076,M,Economics
2077,M,Informatics
2079,M,Informatics
2081,M,Low
2082,M,Low
2083,M,Economics
2084,M,Biology
2086,M,Mathematics
2087,M,Low
2091,M,BusinessAdministration
2093,M,Medicine
2095,M,Physics
2098,M,BusinessAdministration
2100,M,Mathematics
2102,M,Low
2103,M,Informatics
2107,M,Physics
2108,M,Informatics
2109,M,Informatics
2112,M,Low
2113,M,Mathematics
2114,M,Informatics
2121,M,Informatics
2123,M,Economics
2126,M,Physics
2127,M,Mathematics
2128,M,Mathematics
2129,M,Physics
2130,M,Informatics
2131,M,Physics
2133,M,Physics
2134,M,Physics
2136,M,Physics
2142,M,Low
2144,M,Medicine
2145,M,Economics
2146,M,Mathematics
2147,M,Low
2148,M,Mathematics
2150,M,Informatics
2152,M,Informatics
2153,M,Economics
2158,M,Economics
2161,M,BusinessAdministration
2163,M,Mathematics
2167,M,Low
2172,M,Mathematics
2175,M,Informatics
2176,M,Low
2177,M,Low
2179,M,Physics
2181,M,Mathematics
2182,M,Informatics
2183,M,Informatics
2184,M,Informatics
2185,M,Mathematics
2186,M,Physics
2188,M,Biology
2189,M,Mathematics
2191,M,Mathematics
2192,M,Mathematics
2196,M,Low
2197,M,Low
2198,M,Low
